-START-OF-DATA-	
1765.5	0.000278148
1766.5	0.000278194
1767.5	0.000278302
1768.5	0.000278423
1769.5	0.000278548
1770.5	0.000278677
1771.5	0.000278809
1772.5	0.000278944
1773.5	0.000279084
1774.5	0.000279228
1775.5	0.000279377
1776.5	0.000279533
1777.5	0.000279693
1778.5	0.000279854
1779.5	0.000280011
1780.5	0.00028016
1781.5	0.000280303
1782.5	0.00028044
1783.5	0.000280577
1784.5	0.000280718
1785.5	0.000280866
1786.5	0.000281022
1787.5	0.000281183
1788.5	0.000281344
1789.5	0.000281501
1790.5	0.000281653
1791.5	0.0002818
1792.5	0.000281942
1793.5	0.00028208
1794.5	0.000282214
1795.5	0.000282344
1796.5	0.00028247
1797.5	0.000282592
1798.5	0.00028271
1799.5	0.000282824
1800.5	0.000282934
1801.5	0.000283041
1802.5	0.000283143
1803.5	0.000283242
1804.5	0.000283337
1805.5	0.000283428
1806.5	0.000283518
1807.5	0.000283603
1808.5	0.000283682
1809.5	0.000283752
1810.5	0.000283809
1811.5	0.000283857
1812.5	0.000283898
1813.5	0.000283936
1814.5	0.000283974
1815.5	0.000284014
1816.5	0.000284056
1817.5	0.000284099
1818.5	0.000284139
1819.5	0.000284175
1820.5	0.000284204
1821.5	0.000284228
1822.5	0.000284249
1823.5	0.000284268
1824.5	0.000284287
1825.5	0.000284306
1826.5	0.000284326
1827.5	0.000284346
1828.5	0.000284366
1829.5	0.000284386
1830.5	0.000284389
1831.5	0.000284337
1832.5	0.000284219
1833.5	0.000284073
1834.5	0.000283925
1835.5	0.000283776
1836.5	0.000283628
1837.5	0.000283503
1838.5	0.000283432
1839.5	0.000283412
1840.5	0.000283421
1841.5	0.000283465
1842.5	0.000283546
1843.5	0.000283654
1844.5	0.000283797
1845.5	0.000283965
1846.5	0.000284128
1847.5	0.00028429
1848.5	0.000284461
1849.5	0.000284624
1850.5	0.000284774
1851.5	0.000284913
1852.5	0.00028504
1853.5	0.000285176
1854.5	0.000285323
1855.5	0.000285472
1856.5	0.000285622
1857.5	0.000285782
1858.5	0.000285953
1859.5	0.000286116
1860.5	0.000286267
1861.5	0.000286406
1862.5	0.000286533
1863.5	0.000286669
1864.5	0.000286805
1865.5	0.00028692
1866.5	0.000287023
1867.5	0.000287135
1868.5	0.000287268
1869.5	0.000287416
1870.5	0.000287577
1871.5	0.00028776
1872.5	0.000287968
1873.5	0.000288212
1874.5	0.000288493
1875.5	0.0002888
1876.5	0.000289142
1877.5	0.00028952
1878.5	0.000289927
1879.5	0.000290368
1880.5	0.000290847
1881.5	0.000291331
1882.5	0.000291794
1883.5	0.000292242
1884.5	0.000292665
1885.5	0.000293034
1886.5	0.000293343
1887.5	0.000293601
1888.5	0.00029382
1889.5	0.000294012
1890.5	0.000294179
1891.5	0.000294332
1892.5	0.000294471
1893.5	0.000294588
1894.5	0.000294692
1895.5	0.000294793
1896.5	0.000294907
1897.5	0.000295064
1898.5	0.000295291
1899.5	0.00029557
1900.5	0.00029588
1901.5	0.000296212
1902.5	0.000296558
1903.5	0.000296918
1904.5	0.000297311
1905.5	0.000297741
1906.5	0.000298175
1907.5	0.000298589
1908.5	0.00029899
1909.5	0.000299389
1910.5	0.000299778
1911.5	0.000300143
1912.5	0.000300494
1913.5	0.000300834
1914.5	0.000301151
1915.5	0.000301464
1916.5	0.000301799
1917.5	0.000302135
1918.5	0.00030245
1919.5	0.000302763
1920.5	0.000303105
1921.5	0.000303473
1922.5	0.000303838
1923.5	0.000304212
1924.5	0.000304628
1925.5	0.000305059
1926.5	0.000305485
1927.5	0.000305931
1928.5	0.000306399
1929.5	0.000306863
1930.5	0.000307326
1931.5	0.000307796
1932.5	0.000308248
1933.5	0.000308667
1934.5	0.000309069
1935.5	0.000309445
1936.5	0.000309754
1937.5	0.00030998
1938.5	0.000310141
1939.5	0.00031025
1940.5	0.000310297
1941.5	0.000310273
1942.5	0.000310197
1943.5	0.000310115
1944.5	0.000310063
1945.5	0.000310058
1946.5	0.000310102
1947.5	0.000310196
1948.5	0.000310339
1949.5	0.000310545
1950.5	0.000310832
1951.5	0.000311195
1952.5	0.000311602
1953.5	0.000312058
1954.5	0.000312581
1955.5	0.000313156
1956.5	0.000313761
1957.5	0.000314381
1958.5	0.000315016
1959.5	0.000315714
1960.5	0.000316483
1961.5	0.00031724
1962.5	0.00031791
1963.5	0.000318491
1964.5	0.000319114
1965.5	0.000319937
1966.5	0.000320888
1967.5	0.000321879
1968.5	0.000323
1969.5	0.000324156
1970.5	0.000325164
1971.5	0.000326239
1972.5	0.000327586
1973.5	0.000328881
1974.5	0.000329891
1975.5	0.000330902
1976.5	0.000332196
1977.5	0.000333707
1978.5	0.000335315
1979.5	0.000337035
1980.5	0.000338638
1981.5	0.000339914
1982.5	0.000341159
1983.5	0.000342612
1984.5	0.000344139
1985.5	0.000345654
1986.5	0.000347316
1987.5	0.000349229
1988.5	0.000351133
1989.5	0.000352735
1990.5	0.00035404
1991.5	0.000355094
1992.5	0.000356011
1993.5	0.000357113
1994.5	0.000358578
1995.5	0.000360212
1996.5	0.000361874
1997.5	0.00036376
1998.5	0.000365806
1999.5	0.000367614
2000.5	0.00036922
2001.5	0.000371018
